Timestamp;Value;Type
4:00:04 PM.737;LED3 (Yellow): OFF\r\n;received
4:00:04 PM.769;LED4 (Red 1): OFF\r\n;received
4:00:04 PM.786;LED5 (Red 2): ON\r\n;received
4:00:04 PM.802;--------------------\r\n;received
4:00:05 PM.810;Distance: 0 cm\r\n;received
4:00:05 PM.842;LED1 (Green 1): OFF\r\n;received
4:00:05 PM.857;LED2 (Green 2): OFF\r\n;received
4:00:05 PM.873;LED3 (Yellow): OFF\r\n;received
4:00:05 PM.906;LED4 (Red 1): OFF\r\n;received
4:00:05 PM.921;LED5 (Red 2): ON\r\n;received
4:00:05 PM.938;--------------------\r\n;received
4:00:06 PM.946;Distance: 17 cm\r\n;received
4:00:06 PM.962;LED1 (Green 1): OFF\r\n;received
4:00:06 PM.994;LED2 (Green 2): OFF\r\n;received
4:00:07 PM.10;LED3 (Yellow): OFF\r\n;received
4:00:07 PM.26;LED4 (Red 1): ON\r\n;received
4:00:07 PM.41;LED5 (Red 2): OFF\r\n;received
4:00:07 PM.74;--------------------\r\n;received
4:00:08 PM.66;Distance: 14 cm\r\n;received
4:00:08 PM.97;LED1 (Green 1): OFF\r\n;received
4:00:08 PM.113;LED2 (Green 2): OFF\r\n;received
4:00:08 PM.146;LED3 (Yellow): OFF\r\n;received
4:00:08 PM.161;LED4 (Red 1): ON\r\n;received
4:00:08 PM.178;LED5 (Red 2): OFF\r\n;received
4:00:08 PM.194;--------------------\r\n;received
4:00:09 PM.201;Distance: 19 cm\r\n;received
4:00:09 PM.218;LED1 (Green 1): OFF\r\n;received
4:00:09 PM.250;LED2 (Green 2): OFF\r\n;received
4:00:09 PM.266;LED3 (Yellow): OFF\r\n;received
4:00:09 PM.281;LED4 (Red 1): ON\r\n;received
4:00:09 PM.297;LED5 (Red 2): OFF\r\n;received
4:00:09 PM.330;--------------------\r\n;received
4:00:10 PM.337;Distance: 20 cm\r\n;received
4:00:10 PM.354;LED1 (Green 1): OFF\r\n;received
4:00:10 PM.370;LED2 (Green 2): OFF\r\n;received
4:00:10 PM.402;LED3 (Yellow): OFF\r\n;received
4:00:10 PM.417;LED4 (Red 1): ON\r\n;received
4:00:10 PM.434;LED5 (Red 2): OFF\r\n;received
4:00:10 PM.448;--------------------\r\n;received
4:00:11 PM.473;Distance: 0 cm\r\n;received
4:00:11 PM.490;LED1 (Green 1): OFF\r\n;received
4:00:11 PM.505;LED2 (Green 2): OFF\r\n;received
4:00:11 PM.538;LED3 (Yellow): OFF\r\n;received
4:00:11 PM.554;LED4 (Red 1): OFF\r\n;received
4:00:11 PM.570;LED5 (Red 2): ON\r\n;received
4:00:11 PM.602;--------------------\r\n;received
4:00:12 PM.610;Distance: 0 cm\r\n;received
4:00:12 PM.625;LED1 (Green 1): OFF\r\n;received
4:00:12 PM.658;LED2 (Green 2): OFF\r\n;received
4:00:12 PM.674;LED3 (Yellow): OFF\r\n;received
4:00:12 PM.689;LED4 (Red 1): OFF\r\n;received
4:00:12 PM.705;LED5 (Red 2): ON\r\n;received
4:00:12 PM.738;--------------------\r\n;received
4:00:13 PM.729;Distance: 22 cm\r\n;received
4:00:13 PM.762;LED1 (Green 1): OFF\r\n;received
4:00:13 PM.778;LED2 (Green 2): OFF\r\n;received
4:00:13 PM.794;LED3 (Yellow): ON\r\n;received
4:00:13 PM.825;LED4 (Red 1): OFF\r\n;received
4:00:13 PM.842;LED5 (Red 2): OFF\r\n;received
4:00:13 PM.858;--------------------\r\n;received
4:00:14 PM.866;Distance: 21 cm\r\n;received
4:00:14 PM.882;LED1 (Green 1): OFF\r\n;received
4:00:14 PM.914;LED2 (Green 2): OFF\r\n;received
4:00:14 PM.932;LED3 (Yellow): ON\r\n;received
4:00:14 PM.945;LED4 (Red 1): OFF\r\n;received
4:00:14 PM.978;LED5 (Red 2): OFF\r\n;received
4:00:14 PM.994;--------------------\r\n;received
4:00:15 PM.986;Distance: 26 cm\r\n;received
4:00:16 PM.17;LED1 (Green 1): OFF\r\n;received
4:00:16 PM.33;LED2 (Green 2): OFF\r\n;received
4:00:16 PM.66;LED3 (Yellow): ON\r\n;received
4:00:16 PM.82;LED4 (Red 1): OFF\r\n;received
4:00:16 PM.98;LED5 (Red 2): OFF\r\n;received
4:00:16 PM.114;--------------------\r\n;received
4:00:17 PM.122;Distance: 26 cm\r\n;received
4:00:17 PM.138;LED1 (Green 1): OFF\r\n;received
4:00:17 PM.169;LED2 (Green 2): OFF\r\n;received
4:00:17 PM.185;LED3 (Yellow): ON\r\n;received
4:00:17 PM.202;LED4 (Red 1): OFF\r\n;received
4:00:17 PM.234;LED5 (Red 2): OFF\r\n;received
4:00:17 PM.250;--------------------\r\n;received
4:00:18 PM.258;Distance: 28 cm\r\n;received
4:00:18 PM.274;LED1 (Green 1): OFF\r\n;received
4:00:18 PM.290;LED2 (Green 2): OFF\r\n;received
4:00:18 PM.322;LED3 (Yellow): ON\r\n;received
4:00:18 PM.338;LED4 (Red 1): OFF\r\n;received
4:00:18 PM.353;LED5 (Red 2): OFF\r\n;received
4:00:18 PM.369;--------------------\r\n;received
4:00:19 PM.378;Distance: 31 cm\r\n;received
4:00:19 PM.410;LED1 (Green 1): OFF\r\n;received
4:00:19 PM.426;LED2 (Green 2): ON\r\n;received
4:00:19 PM.442;LED3 (Yellow): OFF\r\n;received
4:00:19 PM.473;LED4 (Red 1): OFF\r\n;received
4:00:19 PM.490;LED5 (Red 2): OFF\r\n;received
4:00:19 PM.506;--------------------\r\n;received
4:00:20 PM.514;Distance: 34 cm\r\n;received
4:00:20 PM.530;LED1 (Green 1): OFF\r\n;received
4:00:20 PM.546;LED2 (Green 2): ON\r\n;received
4:00:20 PM.577;LED3 (Yellow): OFF\r\n;received
4:00:20 PM.593;LED4 (Red 1): OFF\r\n;received
4:00:20 PM.610;LED5 (Red 2): OFF\r\n;received
4:00:20 PM.642;--------------------\r\n;received
4:00:21 PM.650;Distance: 34 cm\r\n;received
4:00:21 PM.666;LED1 (Green 1): OFF\r\n;received
4:00:21 PM.681;LED2 (Green 2): ON\r\n;received
4:00:21 PM.698;LED3 (Yellow): OFF\r\n;received
4:00:21 PM.730;LED4 (Red 1): OFF\r\n;received
4:00:21 PM.746;LED5 (Red 2): OFF\r\n;received
4:00:21 PM.762;--------------------\r\n;received
4:00:22 PM.770;Distance: 33 cm\r\n;received
4:00:22 PM.785;LED1 (Green 1): OFF\r\n;received
4:00:22 PM.817;LED2 (Green 2): ON\r\n;received
4:00:22 PM.834;LED3 (Yellow): OFF\r\n;received
4:00:22 PM.850;LED4 (Red 1): OFF\r\n;received
4:00:22 PM.882;LED5 (Red 2): OFF\r\n;received
4:00:22 PM.898;--------------------\r\n;received
4:00:23 PM.906;Distance: 37 cm\r\n;received
4:00:23 PM.921;LED1 (Green 1): OFF\r\n;received
4:00:23 PM.938;LED2 (Green 2): ON\r\n;received
4:00:23 PM.969;LED3 (Yellow): OFF\r\n;received
4:00:23 PM.986;LED4 (Red 1): OFF\r\n;received
4:00:24 PM.1;LED5 (Red 2): OFF\r\n;received
4:00:24 PM.17;--------------------\r\n;received
4:00:25 PM.25;Distance: 39 cm\r\n;received
4:00:25 PM.58;LED1 (Green 1): OFF\r\n;received
4:00:25 PM.73;LED2 (Green 2): ON\r\n;received
4:00:25 PM.89;LED3 (Yellow): OFF\r\n;received
4:00:25 PM.122;LED4 (Red 1): OFF\r\n;received
4:00:25 PM.138;LED5 (Red 2): OFF\r\n;received
4:00:25 PM.154;--------------------\r\n;received
4:00:26 PM.161;Distance: 39 cm\r\n;received
4:00:26 PM.177;LED1 (Green 1): OFF\r\n;received
4:00:26 PM.210;LED2 (Green 2): ON\r\n;received
4:00:26 PM.225;LED3 (Yellow): OFF\r\n;received
4:00:26 PM.241;LED4 (Red 1): OFF\r\n;received
4:00:26 PM.258;LED5 (Red 2): OFF\r\n;received
4:00:26 PM.290;--------------------\r\n;received
4:00:27 PM.298;Distance: 0 cm\r\n;received
4:00:27 PM.314;LED1 (Green 1): OFF\r\n;received
4:00:27 PM.346;LED2 (Green 2): OFF\r\n;received
4:00:27 PM.362;LED3 (Yellow): OFF\r\n;received
4:00:27 PM.377;LED4 (Red 1): OFF\r\n;received
4:00:27 PM.394;LED5 (Red 2): ON\r\n;received
4:00:27 PM.425;--------------------\r\n;received
4:00:28 PM.434;Distance: 43 cm\r\n;received
4:00:28 PM.450;LED1 (Green 1): ON\r\n;received
4:00:28 PM.465;LED2 (Green 2): OFF\r\n;received
4:00:28 PM.482;LED3 (Yellow): OFF\r\n;received
4:00:28 PM.514;LED4 (Red 1): OFF\r\n;received
4:00:28 PM.530;LED5 (Red 2): OFF\r\n;received
4:00:28 PM.562;--------------------\r\n;received
4:00:29 PM.569;Distance: 0 cm\r\n;received
4:00:29 PM.586;LED1 (Green 1): OFF\r\n;received
4:00:29 PM.602;LED2 (Green 2): OFF\r\n;received
4:00:29 PM.634;LED3 (Yellow): OFF\r\n;received
4:00:29 PM.649;LED4 (Red 1): OFF\r\n;received
4:00:29 PM.665;LED5 (Red 2): ON\r\n;received
4:00:29 PM.698;--------------------\r\n;received
4:00:30 PM.706;Distance: 0 cm\r\n;received
4:00:30 PM.722;LED1 (Green 1): OFF\r\n;received
4:00:30 PM.754;LED2 (Green 2): OFF\r\n;received
4:00:30 PM.770;LED3 (Yellow): OFF\r\n;received
4:00:30 PM.786;LED4 (Red 1): OFF\r\n;received
4:00:30 PM.801;LED5 (Red 2): ON\r\n;received
4:00:30 PM.834;--------------------\r\n;received
4:00:31 PM.842;Distance: 0 cm\r\n;received
4:00:31 PM.857;LED1 (Green 1): OFF\r\n;received
4:00:31 PM.889;LED2 (Green 2): OFF\r\n;received
4:00:31 PM.905;LED3 (Yellow): OFF\r\n;received
4:00:31 PM.922;LED4 (Red 1): OFF\r\n;received
4:00:31 PM.954;LED5 (Red 2): ON\r\n;received
4:00:31 PM.970;--------------------\r\n;received
4:00:32 PM.978;Distance: 0 cm\r\n;received
4:00:33 PM.9;LED1 (Green 1): OFF\r\n;received
4:00:33 PM.26;LED2 (Green 2): OFF\r\n;received
4:00:33 PM.41;LED3 (Yellow): OFF\r\n;received
4:00:33 PM.57;LED4 (Red 1): OFF\r\n;received
4:00:33 PM.90;LED5 (Red 2): ON\r\n;received
4:00:33 PM.106;--------------------\r\n;received
4:00:34 PM.114;Distance: 0 cm\r\n;received
4:00:34 PM.146;LED1 (Green 1): OFF\r\n;received
4:00:34 PM.162;LED2 (Green 2): OFF\r\n;received
4:00:34 PM.177;LED3 (Yellow): OFF\r\n;received
4:00:34 PM.210;LED4 (Red 1): OFF\r\n;received
4:00:34 PM.226;LED5 (Red 2): ON\r\n;received
4:00:34 PM.242;--------------------\r\n;received
4:00:35 PM.250;Distance: 0 cm\r\n;received
4:00:35 PM.281;LED1 (Green 1): OFF\r\n;received
4:00:35 PM.297;LED2 (Green 2): OFF\r\n;received
4:00:35 PM.313;LED3 (Yellow): OFF\r\n;received
4:00:35 PM.346;LED4 (Red 1): OFF\r\n;received
4:00:35 PM.361;LED5 (Red 2): ON\r\n;received
4:00:35 PM.377;--------------------\r\n;received
4:00:36 PM.401;Distance: 0 cm\r\n;received
4:00:36 PM.418;LED1 (Green 1): OFF\r\n;received
4:00:36 PM.434;LED2 (Green 2): OFF\r\n;received
4:00:36 PM.466;LED3 (Yellow): OFF\r\n;received
4:00:36 PM.481;LED4 (Red 1): OFF\r\n;received
4:00:36 PM.497;LED5 (Red 2): ON\r\n;received
4:00:36 PM.514;--------------------\r\n;received
4:00:37 PM.537;Distance: 0 cm\r\n;received
4:00:37 PM.554;LED1 (Green 1): OFF\r\n;received
4:00:37 PM.570;LED2 (Green 2): OFF\r\n;received
4:00:37 PM.602;LED3 (Yellow): OFF\r\n;received
4:00:37 PM.618;LED4 (Red 1): OFF\r\n;received
4:00:37 PM.634;LED5 (Red 2): ON\r\n;received
4:00:37 PM.666;--------------------\r\n;received
4:00:38 PM.674;Distance: 0 cm\r\n;received
4:00:38 PM.689;LED1 (Green 1): OFF\r\n;received
4:00:38 PM.705;LED2 (Green 2): OFF\r\n;received
4:00:38 PM.738;LED3 (Yellow): OFF\r\n;received
4:00:38 PM.754;LED4 (Red 1): OFF\r\n;received
4:00:38 PM.770;LED5 (Red 2): ON\r\n;received
4:00:38 PM.802;--------------------\r\n;received
4:00:39 PM.810;Distance: 0 cm\r\n;received
4:00:39 PM.825;LED1 (Green 1): OFF\r\n;received
4:00:39 PM.858;LED2 (Green 2): OFF\r\n;received
4:00:39 PM.874;LED3 (Yellow): OFF\r\n;received
4:00:39 PM.890;LED4 (Red 1): OFF\r\n;received
4:00:39 PM.905;LED5 (Red 2): ON\r\n;received
4:00:39 PM.938;--------------------\r\n;received
4:00:40 PM.946;Distance: 0 cm\r\n;received
4:00:40 PM.962;LED1 (Green 1): OFF\r\n;received
4:00:40 PM.994;LED2 (Green 2): OFF\r\n;received
4:00:41 PM.10;LED3 (Yellow): OFF\r\n;received
4:00:41 PM.25;LED4 (Red 1): OFF\r\n;received
4:00:41 PM.42;LED5 (Red 2): ON\r\n;received
4:00:41 PM.74;--------------------\r\n;received
4:00:42 PM.82;Distance: 0 cm\r\n;received
4:00:42 PM.114;LED1 (Green 1): OFF\r\n;received
4:00:42 PM.129;LED2 (Green 2): OFF\r\n;received
4:00:42 PM.145;LED3 (Yellow): OFF\r\n;received
4:00:42 PM.162;LED4 (Red 1): OFF\r\n;received
4:00:42 PM.193;LED5 (Red 2): ON\r\n;received
4:00:42 PM.209;--------------------\r\n;received
4:00:43 PM.219;Distance: 0 cm\r\n;received
4:00:43 PM.250;LED1 (Green 1): OFF\r\n;received
4:00:43 PM.265;LED2 (Green 2): OFF\r\n;received
4:00:43 PM.282;LED3 (Yellow): OFF\r\n;received
4:00:43 PM.314;LED4 (Red 1): OFF\r\n;received
4:00:43 PM.329;LED5 (Red 2): ON\r\n;received
4:00:43 PM.345;--------------------\r\n;received
4:00:44 PM.353;Distance: 0 cm\r\n;received
4:00:44 PM.386;LED1 (Green 1): OFF\r\n;received
4:00:44 PM.402;LED2 (Green 2): OFF\r\n;received
4:00:44 PM.434;LED3 (Yellow): OFF\r\n;received
4:00:44 PM.450;LED4 (Red 1): OFF\r\n;received
4:00:44 PM.466;LED5 (Red 2): ON\r\n;received
4:00:44 PM.482;--------------------\r\n;received
4:00:45 PM.506;Distance: 0 cm\r\n;received
4:00:45 PM.521;LED1 (Green 1): OFF\r\n;received
4:00:45 PM.537;LED2 (Green 2): OFF\r\n;received
4:00:45 PM.553;LED3 (Yellow): OFF\r\n;received
4:00:45 PM.585;LED4 (Red 1): OFF\r\n;received
4:00:45 PM.601;LED5 (Red 2): ON\r\n;received
4:00:45 PM.618;--------------------\r\n;received
4:00:46 PM.626;Distance: 29 cm\r\n;received
4:00:46 PM.657;LED1 (Green 1): OFF\r\n;received
4:00:46 PM.674;LED2 (Green 2): OFF\r\n;received
4:00:46 PM.690;LED3 (Yellow): ON\r\n;received
4:00:46 PM.706;LED4 (Red 1): OFF\r\n;received
4:00:46 PM.738;LED5 (Red 2): OFF\r\n;received
4:00:46 PM.754;--------------------\r\n;received
4:00:47 PM.762;Distance: 38 cm\r\n;received
4:00:47 PM.777;LED1 (Green 1): OFF\r\n;received
4:00:47 PM.794;LED2 (Green 2): ON\r\n;received
4:00:47 PM.826;LED3 (Yellow): OFF\r\n;received
4:00:47 PM.841;LED4 (Red 1): OFF\r\n;received
4:00:47 PM.858;LED5 (Red 2): OFF\r\n;received
4:00:47 PM.890;--------------------\r\n;received
4:00:48 PM.882;Distance: 38 cm\r\n;received
4:00:48 PM.913;LED1 (Green 1): OFF\r\n;received
4:00:48 PM.930;LED2 (Green 2): ON\r\n;received
4:00:48 PM.945;LED3 (Yellow): OFF\r\n;received
4:00:48 PM.962;LED4 (Red 1): OFF\r\n;received
4:00:48 PM.993;LED5 (Red 2): OFF\r\n;received
4:00:49 PM.9;--------------------\r\n;received
4:00:50 PM.34;Distance: 0 cm\r\n;received
4:00:50 PM.49;LED1 (Green 1): OFF\r\n;received
4:00:50 PM.66;LED2 (Green 2): OFF\r\n;received
4:00:50 PM.98;LED3 (Yellow): OFF\r\n;received
4:00:50 PM.114;LED4 (Red 1): OFF\r\n;received
4:00:50 PM.129;LED5 (Red 2): ON\r\n;received
4:00:50 PM.146;--------------------\r\n;received
4:00:51 PM.170;Distance: 0 cm\r\n;received
4:00:51 PM.185;LED1 (Green 1): OFF\r\n;received
4:00:51 PM.201;LED2 (Green 2): OFF\r\n;received
4:00:51 PM.234;LED3 (Yellow): OFF\r\n;received
4:00:51 PM.250;LED4 (Red 1): OFF\r\n;received
4:00:51 PM.266;LED5 (Red 2): ON\r\n;received
4:00:51 PM.298;--------------------\r\n;received
4:00:52 PM.306;Distance: 0 cm\r\n;received
4:00:52 PM.322;LED1 (Green 1): OFF\r\n;received
4:00:52 PM.338;LED2 (Green 2): OFF\r\n;received
4:00:52 PM.370;LED3 (Yellow): OFF\r\n;received
4:00:52 PM.386;LED4 (Red 1): OFF\r\n;received
4:00:52 PM.401;LED5 (Red 2): ON\r\n;received
4:00:52 PM.418;--------------------\r\n;received
4:00:53 PM.426;Distance: 45 cm\r\n;received
4:00:53 PM.458;LED1 (Green 1): ON\r\n;received
4:00:53 PM.473;LED2 (Green 2): OFF\r\n;received
4:00:53 PM.489;LED3 (Yellow): OFF\r\n;received
4:00:53 PM.522;LED4 (Red 1): OFF\r\n;received
4:00:53 PM.538;LED5 (Red 2): OFF\r\n;received
4:00:53 PM.554;--------------------\r\n;received
4:00:54 PM.562;Distance: 0 cm\r\n;received
4:00:54 PM.594;LED1 (Green 1): OFF\r\n;received
4:00:54 PM.610;LED2 (Green 2): OFF\r\n;received
4:00:54 PM.625;LED3 (Yellow): OFF\r\n;received
4:00:54 PM.658;LED4 (Red 1): OFF\r\n;received
4:00:54 PM.674;LED5 (Red 2): ON\r\n;received
4:00:54 PM.690;--------------------\r\n;received
4:00:55 PM.698;Distance: 37 cm\r\n;received
4:00:55 PM.730;LED1 (Green 1): OFF\r\n;received
4:00:55 PM.746;LED2 (Green 2): ON\r\n;received
4:00:55 PM.762;LED3 (Yellow): OFF\r\n;received
4:00:55 PM.778;LED4 (Red 1): OFF\r\n;received
4:00:55 PM.794;LED5 (Red 2): OFF\r\n;received
4:00:55 PM.826;--------------------\r\n;received
4:00:56 PM.834;Distance: 0 cm\r\n;received
4:00:56 PM.866;LED1 (Green 1): OFF\r\n;received
4:00:56 PM.882;LED2 (Green 2): OFF\r\n;received
4:00:56 PM.898;LED3 (Yellow): OFF\r\n;received
4:00:56 PM.929;LED4 (Red 1): OFF\r\n;received
4:00:56 PM.946;LED5 (Red 2): ON\r\n;received
4:00:56 PM.962;--------------------\r\n;received
4:00:57 PM.970;Distance: 31 cm\r\n;received
4:00:57 PM.986;LED1 (Green 1): OFF\r\n;received
4:00:58 PM.2;LED2 (Green 2): ON\r\n;received
4:00:58 PM.34;LED3 (Yellow): OFF\r\n;received
4:00:58 PM.49;LED4 (Red 1): OFF\r\n;received
4:00:58 PM.66;LED5 (Red 2): OFF\r\n;received
4:00:58 PM.98;--------------------\r\n;received
4:00:59 PM.105;Distance: 26 cm\r\n;received
4:00:59 PM.122;LED1 (Green 1): OFF\r\n;received
4:00:59 PM.139;LED2 (Green 2): OFF\r\n;received
4:00:59 PM.154;LED3 (Yellow): ON\r\n;received
4:00:59 PM.186;LED4 (Red 1): OFF\r\n;received
4:00:59 PM.202;LED5 (Red 2): OFF\r\n;received
4:00:59 PM.218;--------------------\r\n;received
4:01:00 PM.226;Distance: 22 cm\r\n;received
4:01:00 PM.242;LED1 (Green 1): OFF\r\n;received
4:01:00 PM.274;LED2 (Green 2): OFF\r\n;received
4:01:00 PM.290;LED3 (Yellow): ON\r\n;received
4:01:00 PM.306;LED4 (Red 1): OFF\r\n;received
4:01:00 PM.322;LED5 (Red 2): OFF\r\n;received
4:01:00 PM.354;--------------------\r\n;received
4:01:01 PM.362;Distance: 19 cm\r\n;received
4:01:01 PM.378;LED1 (Green 1): OFF\r\n;received
4:01:01 PM.394;LED2 (Green 2): OFF\r\n;received
4:01:01 PM.426;LED3 (Yellow): OFF\r\n;received
4:01:01 PM.442;LED4 (Red 1): ON\r\n;received
4:01:01 PM.457;LED5 (Red 2): OFF\r\n;received
4:01:01 PM.474;--------------------\r\n;received
4:01:02 PM.481;Distance: 17 cm\r\n;received
4:01:02 PM.514;LED1 (Green 1): OFF\r\n;received
4:01:02 PM.530;LED2 (Green 2): OFF\r\n;received
4:01:02 PM.546;LED3 (Yellow): OFF\r\n;received
4:01:02 PM.562;LED4 (Red 1): ON\r\n;received
4:01:02 PM.580;LED5 (Red 2): OFF\r\n;received
4:01:02 PM.610;--------------------\r\n;received
4:01:03 PM.618;Distance: 16 cm\r\n;received
4:01:03 PM.634;LED1 (Green 1): OFF\r\n;received
4:01:03 PM.650;LED2 (Green 2): OFF\r\n;received
4:01:03 PM.681;LED3 (Yellow): OFF\r\n;received
4:01:03 PM.698;LED4 (Red 1): ON\r\n;received
4:01:03 PM.714;LED5 (Red 2): OFF\r\n;received
4:01:03 PM.746;--------------------\r\n;received
4:01:04 PM.738;Distance: 13 cm\r\n;received
4:01:04 PM.770;LED1 (Green 1): OFF\r\n;received
4:01:04 PM.786;LED2 (Green 2): OFF\r\n;received
4:01:04 PM.802;LED3 (Yellow): OFF\r\n;received
4:01:04 PM.818;LED4 (Red 1): ON\r\n;received
4:01:04 PM.850;LED5 (Red 2): OFF\r\n;received
4:01:04 PM.866;--------------------\r\n;received
4:01:05 PM.874;Distance: 11 cm\r\n;received
4:01:05 PM.889;LED1 (Green 1): OFF\r\n;received
4:01:05 PM.905;LED2 (Green 2): OFF\r\n;received
4:01:05 PM.938;LED3 (Yellow): OFF\r\n;received
4:01:05 PM.954;LED4 (Red 1): ON\r\n;received
4:01:05 PM.970;LED5 (Red 2): OFF\r\n;received
4:01:06 PM.2;--------------------\r\n;received
4:01:06 PM.994;Distance: 13 cm\r\n;received
4:01:07 PM.26;LED1 (Green 1): OFF\r\n;received
4:01:07 PM.42;LED2 (Green 2): OFF\r\n;received
4:01:07 PM.57;LED3 (Yellow): OFF\r\n;received
4:01:07 PM.74;LED4 (Red 1): ON\r\n;received
4:01:07 PM.90;LED5 (Red 2): OFF\r\n;received
4:01:07 PM.122;--------------------\r\n;received
4:01:08 PM.129;Distance: 13 cm\r\n;received
4:01:08 PM.146;LED1 (Green 1): OFF\r\n;received
4:01:08 PM.162;LED2 (Green 2): OFF\r\n;received
4:01:08 PM.194;LED3 (Yellow): OFF\r\n;received
4:01:08 PM.210;LED4 (Red 1): ON\r\n;received
4:01:08 PM.226;LED5 (Red 2): OFF\r\n;received
4:01:08 PM.258;--------------------\r\n;received
4:01:09 PM.266;Distance: 0 cm\r\n;received
4:01:09 PM.282;LED1 (Green 1): OFF\r\n;received
4:01:09 PM.298;LED2 (Green 2): OFF\r\n;received
4:01:09 PM.329;LED3 (Yellow): OFF\r\n;received
4:01:09 PM.345;LED4 (Red 1): OFF\r\n;received
4:01:09 PM.362;LED5 (Red 2): ON\r\n;received
4:01:09 PM.394;--------------------\r\n;received
4:01:10 PM.386;Distance: 28 cm\r\n;received
4:01:10 PM.418;LED1 (Green 1): OFF\r\n;received
4:01:10 PM.434;LED2 (Green 2): OFF\r\n;received
4:01:10 PM.450;LED3 (Yellow): ON\r\n;received
4:01:10 PM.482;LED4 (Red 1): OFF\r\n;received
4:01:10 PM.497;LED5 (Red 2): OFF\r\n;received
4:01:10 PM.514;--------------------\r\n;received
4:01:11 PM.523;Distance: 30 cm\r\n;received
4:01:11 PM.538;LED1 (Green 1): OFF\r\n;received
4:01:11 PM.570;LED2 (Green 2): OFF\r\n;received
4:01:11 PM.586;LED3 (Yellow): ON\r\n;received
4:01:11 PM.602;LED4 (Red 1): OFF\r\n;received
4:01:11 PM.617;LED5 (Red 2): OFF\r\n;received
4:01:11 PM.650;--------------------\r\n;received
4:01:12 PM.658;Distance: 0 cm\r\n;received
4:01:12 PM.674;LED1 (Green 1): OFF\r\n;received
4:01:12 PM.706;LED2 (Green 2): OFF\r\n;received
4:01:12 PM.722;LED3 (Yellow): OFF\r\n;received
4:01:12 PM.738;LED4 (Red 1): OFF\r\n;received
4:01:12 PM.753;LED5 (Red 2): ON\r\n;received
4:01:12 PM.786;--------------------\r\n;received
4:01:13 PM.794;Distance: 0 cm\r\n;received
4:01:13 PM.825;LED1 (Green 1): OFF\r\n;received
4:01:13 PM.842;LED2 (Green 2): OFF\r\n;received
4:01:13 PM.858;LED3 (Yellow): OFF\r\n;received
4:01:13 PM.874;LED4 (Red 1): OFF\r\n;received
4:01:13 PM.906;LED5 (Red 2): ON\r\n;received
4:01:13 PM.922;--------------------\r\n;received
4:01:14 PM.931;Distance: 0 cm\r\n;received
4:01:14 PM.962;LED1 (Green 1): OFF\r\n;received
4:01:14 PM.977;LED2 (Green 2): OFF\r\n;received
4:01:14 PM.994;LED3 (Yellow): OFF\r\n;received
4:01:15 PM.26;LED4 (Red 1): OFF\r\n;received
4:01:15 PM.42;LED5 (Red 2): ON\r\n;received
4:01:15 PM.58;--------------------\r\n;received
4:01:16 PM.66;Distance: 44 cm\r\n;received
4:01:16 PM.82;LED1 (Green 1): ON\r\n;received
4:01:16 PM.114;LED2 (Green 2): OFF\r\n;received
4:01:16 PM.131;LED3 (Yellow): OFF\r\n;received
4:01:16 PM.145;LED4 (Red 1): OFF\r\n;received
4:01:16 PM.162;LED5 (Red 2): OFF\r\n;received
4:01:16 PM.194;--------------------\r\n;received
4:01:17 PM.202;Distance: 0 cm\r\n;received
4:01:17 PM.218;LED1 (Green 1): OFF\r\n;received
4:01:17 PM.249;LED2 (Green 2): OFF\r\n;received
4:01:17 PM.266;LED3 (Yellow): OFF\r\n;received
4:01:17 PM.282;LED4 (Red 1): OFF\r\n;received
4:01:17 PM.314;LED5 (Red 2): ON\r\n;received
4:01:17 PM.329;--------------------\r\n;received
4:01:18 PM.338;Distance: 0 cm\r\n;received
4:01:18 PM.370;LED1 (Green 1): OFF\r\n;received
4:01:18 PM.386;LED2 (Green 2): OFF\r\n;received
4:01:18 PM.401;LED3 (Yellow): OFF\r\n;received
4:01:18 PM.418;LED4 (Red 1): OFF\r\n;received
4:01:18 PM.450;LED5 (Red 2): ON\r\n;received
4:01:18 PM.466;--------------------\r\n;received
4:01:19 PM.474;Distance: 0 cm\r\n;received
4:01:19 PM.506;LED1 (Green 1): OFF\r\n;received
4:01:19 PM.522;LED2 (Green 2): OFF\r\n;received
4:01:19 PM.538;LED3 (Yellow): OFF\r\n;received
4:01:19 PM.570;LED4 (Red 1): OFF\r\n;received
4:01:19 PM.586;LED5 (Red 2): ON\r\n;received
4:01:19 PM.602;--------------------\r\n;received
4:02:20 PM.789;Di-----------------\r\n;received
4:02:22 PM.501;Distance: 15 cm\r\n;received
4:02:22 PM.533;LED1 (Green 1): OFF\r\n;received
4:02:22 PM.549;LED2 (Green 2): OFF\r\n;received
4:02:22 PM.565;LED3 (Yellow): OFF\r\n;received
4:02:22 PM.580;LED4 (Red 1): ON\r\n;received
4:02:22 PM.613;LED5 (Red 2): OFF\r\n;received
4:02:22 PM.629;--------------------\r\n;received
4:02:23 PM.637;Distance: 0 cm\r\n;received
4:02:23 PM.670;LED1 (Green 1): OFF\r\n;received
4:02:23 PM.685;LED2 (Green 2): OFF\r\n;received
4:02:23 PM.701;LED3 (Yellow): OFF\r\n;received
4:02:23 PM.733;LED4 (Red 1): OFF\r\n;received
4:02:23 PM.749;LED5 (Red 2): ON\r\n;received
4:02:23 PM.765;--------------------\r\n;received
4:02:24 PM.773;Distance: 16 cm\r\n;received
