time,value
2024-09-02T14:37:47.014007355Z,-1.0054473876953125
2024-09-02T14:37:47.99812592Z,-1.0046844482421875
2024-09-02T14:37:49.021139015Z,-1.0027618408203125
2024-09-02T14:37:50.060019016Z,-1.00421142578125
2024-09-02T14:37:51.092493221Z,-1.0045623779296875
2024-09-02T14:37:52.251139261Z,-1.00469970703125
2024-09-02T14:37:53.119927506Z,-1.002349853515625
2024-09-02T14:37:54.135957224Z,-1.00555419921875
2024-09-02T14:37:55.152250272Z,-1.00323486328125
2024-09-02T14:37:56.169946771Z,-1.0001983642578125
2024-09-02T14:37:57.187704508Z,-1.0141754150390625
2024-09-02T14:37:58.196683785Z,-0.654144287109375
2024-09-02T14:37:59.213792206Z,-0.77105712890625
2024-09-02T14:38:00.227598995Z,-0.831268310546875
2024-09-02T14:38:01.245890221Z,-0.3872222900390625
2024-09-02T14:38:02.259747393Z,-0.764190673828125
2024-09-02T14:38:03.274162622Z,-0.5902862548828125
2024-09-02T14:38:04.290560625Z,-0.357635498046875
2024-09-02T14:38:05.308507491Z,-0.3736419677734375
2024-09-02T14:38:06.322843533Z,-0.8264923095703125
2024-09-02T14:38:07.338859663Z,-0.527374267578125
2024-09-02T14:38:08.355136632Z,-0.58709716796875
2024-09-02T14:38:09.36681165Z,-1.009246826171875
2024-09-02T14:38:10.382836346Z,-0.919921875
2024-09-02T14:38:11.401408722Z,-0.47528076171875
2024-09-02T14:38:12.414035977Z,-0.8358001708984375
2024-09-02T14:38:13.429375056Z,-0.8414154052734375
2024-09-02T14:38:14.447729847Z,-0.4962005615234375
2024-09-02T14:38:15.46007853Z,-0.525115966796875
2024-09-02T14:38:16.478672495Z,-0.976654052734375
2024-09-02T14:38:17.484246967Z,-0.87921142578125
2024-09-02T14:38:18.504658573Z,-0.453765869140625
2024-09-02T14:38:19.521567357Z,-0.638153076171875
2024-09-02T14:38:20.542368629Z,-0.9130859375
2024-09-02T14:38:21.557716666Z,-0.508056640625
2024-09-02T14:38:22.568481157Z,-0.7047271728515625
2024-09-02T14:38:23.58442131Z,-0.95751953125
2024-09-02T14:38:24.598057453Z,-0.65130615234375
2024-09-02T14:38:25.615584257Z,-0.9994049072265625
2024-09-02T14:38:26.628594711Z,-0.9639892578125
2024-09-02T14:38:27.649458164Z,-0.6450958251953125
2024-09-02T14:38:28.659987319Z,-0.3976898193359375
2024-09-02T14:38:29.674101219Z,-0.946258544921875
2024-09-02T14:38:30.689099518Z,-0.97186279296875
2024-09-02T14:38:31.708547589Z,-0.9922332763671875
2024-09-02T14:38:32.721595965Z,-1.0277099609375
2024-09-02T14:38:33.737289854Z,-0.8183746337890625
2024-09-02T14:38:34.750609431Z,-0.987579345703125
2024-09-02T14:38:35.765710093Z,-0.9826812744140625
2024-09-02T14:38:36.783073719Z,-0.875640869140625
2024-09-02T14:38:37.794404212Z,-0.4645843505859375
2024-09-02T14:38:38.813260145Z,-0.9778289794921875
2024-09-02T14:38:39.829720027Z,-1.060150146484375
2024-09-02T14:38:40.843121551Z,-0.516998291015625
2024-09-02T14:38:42.030162776Z,-0.5814361572265625
2024-09-02T14:38:42.874622047Z,-0.9656219482421875
2024-09-02T14:38:43.891538678Z,-0.3636932373046875
2024-09-02T14:38:44.904421872Z,-0.278472900390625
2024-09-02T14:38:45.920821826Z,-1.0077362060546875
2024-09-02T14:38:46.937338875Z,-0.8892974853515625
2024-09-02T14:38:47.951262342Z,-0.5211181640625
2024-09-02T14:38:48.967190384Z,-0.961090087890625
2024-09-02T14:38:49.985510492Z,-1.0273895263671875
2024-09-02T14:38:50.997283335Z,-0.41326904296875
2024-09-02T14:38:52.018600752Z,-1.00762939453125
2024-09-02T14:38:53.029119468Z,-0.3917083740234375
2024-09-02T14:38:54.044640477Z,-0.785003662109375
2024-09-02T14:38:55.058974403Z,-1.0742034912109375
2024-09-02T14:38:56.073800416Z,-0.4651641845703125
2024-09-02T14:38:57.089807037Z,-0.8515167236328125
2024-09-02T14:38:58.105890082Z,-0.644134521484375
2024-09-02T14:38:59.122538537Z,-0.4466094970703125
2024-09-02T14:39:00.138661335Z,-0.4129486083984375
2024-09-02T14:39:01.150088322Z,-0.7049713134765625
2024-09-02T14:39:02.171342973Z,-0.7839508056640625
2024-09-02T14:39:03.184389104Z,-0.45751953125
2024-09-02T14:39:04.198335304Z,-0.7314605712890625
2024-09-02T14:39:05.217314007Z,-0.724609375
2024-09-02T14:39:06.219253145Z,-0.538970947265625
2024-09-02T14:39:07.239740568Z,-0.39105224609375
2024-09-02T14:39:08.256401108Z,-0.5857086181640625
2024-09-02T14:39:09.27242586Z,-1.0230560302734375
2024-09-02T14:39:10.292005352Z,-0.7014312744140625
2024-09-02T14:39:11.305325716Z,-1.1012420654296875
2024-09-02T14:39:12.321045329Z,-1.0742645263671875
2024-09-02T14:39:13.341131446Z,-0.6316375732421875
2024-09-02T14:39:14.351214126Z,-1.036102294921875
2024-09-02T14:39:15.368648235Z,-1.019622802734375
2024-09-02T14:39:16.386130214Z,-0.6771087646484375
2024-09-02T14:39:17.398660807Z,-0.4259185791015625
2024-09-02T14:39:18.41594798Z,-1.071258544921875
2024-09-02T14:39:19.431298867Z,-1.04241943359375
2024-09-02T14:39:20.446545592Z,-0.99615478515625
2024-09-02T14:39:21.4609972Z,-0.664215087890625
2024-09-02T14:39:22.477198315Z,-0.8466339111328125
2024-09-02T14:39:23.494282099Z,-0.9192352294921875
2024-09-02T14:39:24.508579414Z,-0.9951324462890625
2024-09-02T14:39:25.521202125Z,-0.9800872802734375
2024-09-02T14:39:26.537324045Z,-0.785980224609375
2024-09-02T14:39:27.55216543Z,-0.89556884765625
2024-09-02T14:39:28.569055286Z,-0.9894866943359375
2024-09-02T14:39:29.585005006Z,-1.065521240234375
2024-09-02T14:39:30.59883333Z,-0.7531280517578125
2024-09-02T14:39:31.61689433Z,-0.547271728515625
2024-09-02T14:39:32.631284675Z,-1.002349853515625
2024-09-02T14:39:33.649169347Z,-0.96136474609375
2024-09-02T14:39:34.659863985Z,-0.90521240234375
2024-09-02T14:39:35.675488712Z,-0.73675537109375
2024-09-02T14:39:36.692148625Z,-0.92926025390625
2024-09-02T14:39:37.708546746Z,-1.0014190673828125
2024-09-02T14:39:38.719916715Z,-0.799224853515625
2024-09-02T14:39:39.738493443Z,-1.0347900390625
2024-09-02T14:39:40.75319306Z,-0.981689453125
2024-09-02T14:39:41.97397138Z,-1.189178466796875
2024-09-02T14:39:42.787784248Z,-0.8988037109375
2024-09-02T14:39:43.79825958Z,-0.921173095703125
2024-09-02T14:39:44.815112121Z,-0.6737060546875
2024-09-02T14:39:45.834458671Z,-1.0224761962890625
2024-09-02T14:39:46.844548142Z,-0.759002685546875
2024-09-02T14:39:47.861341261Z,-0.84521484375
2024-09-02T14:39:48.880714338Z,-1.0549774169921875
2024-09-02T14:39:49.895639683Z,-1.0003204345703125
2024-09-02T14:39:50.909266356Z,-0.78009033203125
2024-09-02T14:39:51.923582623Z,-0.7169189453125
2024-09-02T14:39:52.935521432Z,-0.953125
2024-09-02T14:39:53.955591194Z,-0.9468841552734375
2024-09-02T14:39:54.96560439Z,-0.984771728515625
2024-09-02T14:39:55.984288618Z,-0.965789794921875
2024-09-02T14:39:57.002522196Z,-0.8947906494140625
2024-09-02T14:39:58.013519039Z,-0.8206634521484375
2024-09-02T14:39:59.033355096Z,-0.9438323974609375
2024-09-02T14:40:00.045768276Z,-0.8292388916015625
2024-09-02T14:40:01.059914764Z,-0.61419677734375
