time,value
2024-09-02T14:37:47.014007355Z,-0.015625
2024-09-02T14:37:47.99812592Z,-0.0150909423828125
2024-09-02T14:37:49.021139015Z,-0.0135955810546875
2024-09-02T14:37:50.060019016Z,-0.01531982421875
2024-09-02T14:37:51.092493221Z,-0.014617919921875
2024-09-02T14:37:52.251139261Z,-0.01385498046875
2024-09-02T14:37:53.119927506Z,-0.0125579833984375
2024-09-02T14:37:54.135957224Z,-0.01556396484375
2024-09-02T14:37:55.152250272Z,-0.0154876708984375
2024-09-02T14:37:56.169946771Z,-0.016021728515625
2024-09-02T14:37:57.187704508Z,-0.1572265625
2024-09-02T14:37:58.196683785Z,-0.39605712890625
2024-09-02T14:37:59.213792206Z,-0.5274658203125
2024-09-02T14:38:00.227598995Z,-0.5050201416015625
2024-09-02T14:38:01.245890221Z,-0.7205810546875
2024-09-02T14:38:02.259747393Z,-0.671142578125
2024-09-02T14:38:03.274162622Z,-0.8235931396484375
2024-09-02T14:38:04.290560625Z,-0.8615570068359375
2024-09-02T14:38:05.308507491Z,-0.740081787109375
2024-09-02T14:38:06.322843533Z,-0.61614990234375
2024-09-02T14:38:07.338859663Z,-0.7594451904296875
2024-09-02T14:38:08.355136632Z,-0.7279205322265625
2024-09-02T14:38:09.36681165Z,0.148468017578125
2024-09-02T14:38:10.382836346Z,-0.154205322265625
2024-09-02T14:38:11.401408722Z,-0.7825927734375
2024-09-02T14:38:12.414035977Z,-0.49749755859375
2024-09-02T14:38:13.429375056Z,-0.6064605712890625
2024-09-02T14:38:14.447729847Z,-0.61761474609375
2024-09-02T14:38:15.46007853Z,-0.816436767578125
2024-09-02T14:38:16.478672495Z,-0.2506103515625
2024-09-02T14:38:17.484246967Z,-0.54864501953125
2024-09-02T14:38:18.504658573Z,-0.8603973388671875
2024-09-02T14:38:19.521567357Z,-0.6926727294921875
2024-09-02T14:38:20.542368629Z,-0.544830322265625
2024-09-02T14:38:21.557716666Z,-0.7726593017578125
2024-09-02T14:38:22.568481157Z,-0.592132568359375
2024-09-02T14:38:23.58442131Z,-0.377593994140625
2024-09-02T14:38:24.598057453Z,-0.698486328125
2024-09-02T14:38:25.615584257Z,-0.4181671142578125
2024-09-02T14:38:26.628594711Z,-0.3120574951171875
2024-09-02T14:38:27.649458164Z,-0.7856597900390625
2024-09-02T14:38:28.659987319Z,-0.8776702880859375
2024-09-02T14:38:29.674101219Z,-0.276947021484375
2024-09-02T14:38:30.689099518Z,-0.064178466796875
2024-09-02T14:38:31.708547589Z,-0.1792144775390625
2024-09-02T14:38:32.721595965Z,-0.0677032470703125
2024-09-02T14:38:33.737289854Z,-0.41998291015625
2024-09-02T14:38:34.750609431Z,-0.400360107421875
2024-09-02T14:38:35.765710093Z,0.037628173828125
2024-09-02T14:38:36.783073719Z,-0.412841796875
2024-09-02T14:38:37.794404212Z,-0.7150115966796875
2024-09-02T14:38:38.813260145Z,-0.036590576171875
2024-09-02T14:38:39.829720027Z,-0.1490478515625
2024-09-02T14:38:40.843121551Z,-0.7579193115234375
2024-09-02T14:38:42.030162776Z,-0.49261474609375
2024-09-02T14:38:42.874622047Z,-0.554901123046875
2024-09-02T14:38:43.891538678Z,-0.900543212890625
2024-09-02T14:38:44.904421872Z,-0.8760223388671875
2024-09-02T14:38:45.920821826Z,-0.306549072265625
2024-09-02T14:38:46.937338875Z,-0.4106292724609375
2024-09-02T14:38:47.951262342Z,-0.8126678466796875
2024-09-02T14:38:48.967190384Z,-0.3058929443359375
