timestamp,X_value,Y_value,Z_value
2024-09-03 12:39:05,-0.002166748046875,-0.033203125,-0.9972381591796876
2024-09-03 12:39:06,-0.0013427734375,-0.033203125,-0.9972381591796876
2024-09-03 12:39:07,-0.0013427734375,-0.03216552734375,-0.9972381591796876
2024-09-03 12:39:08,-0.0013427734375,-0.03216552734375,-0.9961090087890624
2024-09-03 12:39:12,-0.0011138916015625,-0.03216552734375,-0.9961090087890624
2024-09-03 12:39:13,-0.3121185302734375,-0.03216552734375,-0.9961090087890624
2024-09-03 12:39:14,-0.3121185302734375,-0.2922821044921875,-0.9961090087890624
2024-09-03 12:39:15,-0.3121185302734375,-0.2922821044921875,-0.399505615234375
2024-09-03 12:39:17,0.007232666015625,-0.2922821044921875,-0.399505615234375
2024-09-03 12:39:18,0.007232666015625,-0.452301025390625,-0.399505615234375
2024-09-03 12:39:19,0.007232666015625,-0.452301025390625,-0.878448486328125
2024-09-03 12:39:20,0.146942138671875,-0.452301025390625,-0.878448486328125
2024-09-03 12:39:21,0.146942138671875,-0.282562255859375,-0.878448486328125
2024-09-03 12:39:22,0.146942138671875,-0.282562255859375,-0.953033447265625
2024-09-03 12:39:26,0.25274658203125,-0.282562255859375,-0.953033447265625
2024-09-03 12:36:18,-0.000213623046875,-0.031219482421875,-0.9953460693359376
2024-09-03 12:36:19,-0.000213623046875,-0.031219482421875,-0.9944610595703124
2024-09-03 12:36:20,-0.000732421875,-0.031219482421875,-0.9944610595703124
2024-09-03 12:36:21,-0.000732421875,-0.0319671630859375,-0.9944610595703124
2024-09-03 12:36:22,-0.000732421875,-0.0319671630859375,-0.9965667724609376
2024-09-03 12:36:23,-0.01654052734375,-0.0319671630859375,-0.9965667724609376
2024-09-03 12:36:27,-0.002685546875,-0.0319671630859375,-0.9965667724609376
2024-09-03 12:36:28,-0.002685546875,-0.03253173828125,-0.9965667724609376
2024-09-03 12:36:29,-0.002685546875,-0.03253173828125,-0.996612548828125
2024-09-03 12:36:30,-0.0013427734375,-0.03253173828125,-0.996612548828125
2024-09-03 12:36:31,-0.0013427734375,-0.0319976806640625,-0.996612548828125
2024-09-03 12:36:32,-0.0013427734375,-0.0319976806640625,-0.995758056640625
2024-09-03 12:36:33,-0.0022735595703125,-0.0319976806640625,-0.995758056640625
2024-09-03 12:36:34,-0.0022735595703125,-0.0328826904296875,-0.995758056640625
2024-09-03 12:36:35,-0.0022735595703125,-0.0328826904296875,-0.9963226318359376
2024-09-03 12:36:39,-0.00115966796875,-0.0328826904296875,-0.9963226318359376
2024-09-03 12:36:40,-0.00115966796875,-0.03448486328125,-0.9963226318359376
2024-09-03 12:36:41,-0.00115966796875,-0.03448486328125,-0.99578857421875
2024-09-03 12:36:43,-0.0025482177734375,-0.03448486328125,-0.99578857421875
2024-09-03 12:36:44,-0.0025482177734375,-0.0313568115234375,-0.99578857421875
2024-09-03 12:36:45,-0.0025482177734375,-0.0313568115234375,-0.99676513671875
2024-09-03 12:36:46,-0.00115966796875,-0.0313568115234375,-0.99676513671875
2024-09-03 12:36:47,-0.00115966796875,-0.0317230224609375,-0.99676513671875
2024-09-03 12:36:48,-0.00115966796875,-0.0317230224609375,-0.99493408203125
2024-09-03 12:36:49,-0.002044677734375,-0.0317230224609375,-0.99493408203125
2024-09-03 12:36:52,-0.002044677734375,-0.0324859619140625,-0.99493408203125
2024-09-03 12:36:54,-0.0011138916015625,-0.0324859619140625,-0.99493408203125
2024-09-03 12:36:55,-0.0011138916015625,-0.0328521728515625,-0.99493408203125
2024-09-03 12:36:56,-0.0011138916015625,-0.0328521728515625,-0.996002197265625
2024-09-03 12:36:57,-0.0025482177734375,-0.0328521728515625,-0.996002197265625
2024-09-03 12:36:58,-0.0025482177734375,-0.0330810546875,-0.996002197265625
2024-09-03 12:36:59,-0.0025482177734375,-0.0330810546875,-0.9962921142578124
2024-09-03 12:37:00,-0.001861572265625,-0.0330810546875,-0.9962921142578124
2024-09-03 12:37:01,-0.001861572265625,-0.0297698974609375,-0.9962921142578124
2024-09-03 12:37:02,-0.001861572265625,-0.0297698974609375,-0.9964599609375
