timestamp,data-value
2024:09:03:12:21:33,-0.0639801025390625
2024:09:03:12:21:55,-0.00048828125
2024:09:03:12:21:59,-0.0086517333984375
2024:09:03:12:22:02,-0.006805419921875
2024:09:03:12:22:08,-0.0074920654296875
2024:09:03:12:22:12,-0.007354736328125
2024:09:03:12:22:15,-0.007537841796875
2024:09:03:12:22:18,-0.008514404296875
2024:09:03:12:22:24,-0.0030517578125
2024:09:03:12:22:27,-0.0039825439453125
2024:09:03:12:22:30,0.000213623046875
2024:09:03:12:22:36,-0.0043792724609375
2024:09:03:12:22:38,-0.002960205078125
2024:09:03:12:22:41,-0.00128173828125
2024:09:03:12:22:44,-0.0033111572265625
2024:09:03:12:22:50,-0.00128173828125
2024:09:03:12:22:54,-0.0026397705078125
2024:09:03:12:22:57,-0.00341796875
2024:09:03:12:23:05,-0.00201416015625
2024:09:03:12:23:08,-0.00311279296875
2024:09:03:12:23:19,-0.0046234130859375
2024:09:03:12:23:34,-0.0067138671875
2024:09:03:12:23:37,-0.0023193359375
2024:09:03:12:23:40,-0.000579833984375
2024:09:03:12:23:46,-0.0046234130859375
2024:09:03:12:23:49,-0.0033416748046875
2024:09:03:12:23:52,-0.00311279296875
2024:09:03:12:23:55,-0.0054779052734375
2024:09:03:12:24:00,-0.00244140625
2024:09:03:12:24:02,-0.003265380859375
2024:09:03:12:24:05,-0.003509521484375
2024:09:03:12:24:08,-0.002166748046875
2024:09:03:12:24:13,-0.0060577392578125
2024:09:03:12:24:15,-0.0012054443359375
2024:09:03:12:24:18,-0.00933837890625
2024:09:03:12:24:21,-0.004241943359375
2024:09:03:12:24:24,-0.0024261474609375
2024:09:03:12:24:28,-0.0026702880859375
2024:09:03:12:24:31,-0.004302978515625
2024:09:03:12:24:34,-0.004486083984375
2024:09:03:12:24:37,-0.0038299560546875
2024:09:03:12:24:41,-0.0042724609375
2024:09:03:12:24:44,-0.010589599609375
2024:09:03:12:24:47,-0.0035858154296875
2024:09:03:12:24:51,-0.005462646484375
2024:09:03:12:24:54,-0.0001678466796875
2024:09:03:12:24:57,0.002593994140625
2024:09:03:12:25:00,-0.002685546875
2024:09:03:12:25:06,-0.00457763671875
2024:09:03:12:25:10,-0.0033111572265625
2024:09:03:12:25:13,-0.0036163330078125
2024:09:03:12:25:16,-0.0052490234375
2024:09:03:12:25:22,-0.01300048828125
2024:09:03:12:25:26,-0.0032196044921875
2024:09:03:12:25:29,-0.0054473876953125
2024:09:03:12:25:32,-0.0041351318359375
2024:09:03:12:25:38,-0.00531005859375
2024:09:03:12:25:41,-0.007598876953125
2024:09:03:12:25:44,-0.00323486328125
2024:09:03:12:25:49,-0.003082275390625
2024:09:03:12:25:51,-0.00238037109375
2024:09:03:12:25:55,-0.003692626953125
2024:09:03:12:25:58,-0.0039520263671875
2024:09:03:12:26:03,-0.0032196044921875
2024:09:03:12:26:04,-0.0054931640625
2024:09:03:12:26:08,-0.0037384033203125
2024:09:03:12:26:11,-0.0056915283203125
2024:09:03:12:26:19,-0.012969970703125
2024:09:03:12:26:32,-0.003753662109375
2024:09:03:12:26:45,-0.0066680908203125
2024:09:03:12:26:49,-0.0009765625
2024:09:03:12:26:52,0.00848388671875
2024:09:03:12:26:55,-0.003875732421875
2024:09:03:12:26:58,-0.003570556640625
