timestamp,x,y,z
2024-09-04 10:48:16.809979,-12.27,-1.28,-0.98
2024-09-04 10:48:18.162735,-0.37,-0.85,-0.49
2024-09-04 10:48:18.778424,-0.55,-1.89,-1.34
2024-09-04 10:48:19.821934,-2.08,-1.1,-0.92
2024-09-04 10:48:20.926866,-183.72,13.0,258.91
2024-09-04 10:48:21.950936,-174.62,26.37,308.96
2024-09-04 10:48:22.746059,323.67,91.19,186.1
2024-09-04 10:48:23.755076,-421.75,-237.85,-361.94
2024-09-04 10:48:24.794151,22.4,27.28,-59.63
2024-09-04 10:48:25.816613,-163.7,340.58,136.35
2024-09-04 10:48:26.775220,89.6,-260.8,217.9
2024-09-04 10:48:27.998855,56.4,-60.67,726.01
2024-09-04 10:48:29.122595,-152.47,-478.27,113.95
2024-09-04 10:48:29.813512,-36.5,204.1,236.88
2024-09-04 10:48:30.797724,220.89,-249.21,333.07
2024-09-04 10:48:31.985259,-31.43,492.31,152.16
2024-09-04 10:48:32.907857,169.07,-164.0,-180.05
2024-09-04 10:48:33.808344,16.72,4.7,12.57
2024-09-04 10:48:34.956467,7.02,-100.04,-45.96
2024-09-04 10:48:35.995529,40.65,21.85,-41.69
2024-09-04 10:48:36.904952,0.06,-0.85,-0.43
2024-09-04 10:48:37.925183,0.0,-0.73,-0.37
2024-09-04 10:48:38.844554,-0.06,-0.79,-0.43
2024-09-04 10:48:39.881513,-0.12,-0.79,-0.43
2024-09-04 10:48:40.996797,-0.12,-0.79,-0.43
2024-09-04 10:48:42.021789,-0.98,-0.85,-0.43
2024-09-04 10:48:42.854718,-0.24,-0.79,-0.49
2024-09-04 10:48:44.076657,-0.24,-0.79,-0.43
2024-09-04 10:48:45.401845,-0.18,-0.79,-0.43
2024-09-04 10:48:45.883762,-0.31,-0.85,-0.55
2024-09-04 10:48:46.904170,0.06,-0.79,-0.49
2024-09-04 10:48:47.966269,-0.18,-0.85,-0.49
2024-09-04 10:48:48.983587,-0.18,-0.85,-0.43
2024-09-04 10:48:49.914590,-0.24,-0.79,-0.43
2024-09-04 10:48:51.134146,-0.06,-0.85,-0.43
2024-09-04 10:48:51.925372,105.96,40.16,-187.87
2024-09-04 10:48:52.947404,-109.38,-605.29,727.36
2024-09-04 10:48:53.938799,-86.24,-309.88,136.11
2024-09-04 10:48:54.926907,-214.23,-52.61,54.75
2024-09-04 10:48:56.049318,-61.28,-469.97,-15.93
2024-09-04 10:48:56.969228,96.62,-212.16,-102.29
2024-09-04 10:48:58.097988,-27.1,-394.65,-259.89
2024-09-04 10:48:59.122500,-147.4,466.98,190.12
2024-09-04 10:49:00.044547,-22.89,-81.24,35.16
2024-09-04 10:49:01.486479,191.89,-158.2,165.77
2024-09-04 10:49:01.962686,0.06,-70.19,4.52
2024-09-04 10:49:02.966817,-100.16,399.48,453.61
2024-09-04 10:49:04.003883,245.97,46.63,-436.04
2024-09-04 10:49:05.264948,-9.83,-71.53,-86.85
2024-09-04 10:49:06.087683,14.89,-46.57,-58.65
2024-09-04 10:49:07.110132,-0.31,-0.79,-0.43
2024-09-04 10:49:08.004421,-0.24,-0.79,-0.49
2024-09-04 10:49:09.158706,-0.18,-0.79,-0.43
2024-09-04 10:49:10.024346,-0.18,-0.79,-0.43
2024-09-04 10:49:11.020204,-0.24,-0.73,-0.43
2024-09-04 10:49:12.044415,-0.31,-0.79,-0.43
2024-09-04 10:49:13.041868,-0.18,-0.79,-0.43
2024-09-04 10:49:14.054066,-0.18,-0.79,-0.49
2024-09-04 10:49:15.302183,-0.24,-0.79,-0.43
2024-09-04 10:49:16.048490,-0.31,-0.79,-0.43
2024-09-04 10:49:17.475170,-0.24,-0.79,-0.49
2024-09-04 10:49:18.279930,-0.24,-0.79,-0.37
2024-09-04 10:49:19.398862,-0.31,-0.79,-0.43
2024-09-04 10:49:20.074143,-2.14,-15.99,15.62
2024-09-04 10:49:21.139293,50.6,208.01,-67.75
2024-09-04 10:49:22.099201,4.09,-100.71,-156.43
