timestamp,x,y,z
2024-09-04 09:06:54.072,235.84,142.03,-13.92
2024-09-04 09:06:55.674,-64.45,10.86,668.7
2024-09-04 09:06:56.186,47.73,-16.17,292.91
2024-09-04 09:06:57.324,-31.8,-8.91,71.29
2024-09-04 09:06:58.439,-71.47,-155.27,368.65
2024-09-04 09:06:59.113,24.17,-13.98,293.4
2024-09-04 09:07:00.133,84.41,156.37,219.18
2024-09-04 09:07:01.139,92.41,204.53,24.35
2024-09-04 09:07:02.132,21.61,-134.77,169.13
2024-09-04 09:07:03.354,12.21,12.82,2.08
2024-09-04 09:07:04.378,-73.61,-47.73,-27.22
2024-09-04 09:07:05.303,315.67,647.71,-5.49
2024-09-04 09:07:06.425,-294.19,-596.98,-410.77
2024-09-04 09:07:07.245,-80.63,-233.52,-171.63
2024-09-04 09:07:08.474,-107.73,-318.73,-10.31
2024-09-04 09:07:09.278,233.09,368.23,-20.45
2024-09-04 09:07:10.165,-3.66,-4.09,-5.25
2024-09-04 09:07:11.550,5.74,7.69,-3.05
2024-09-04 09:07:12.195,-13.49,-23.44,-17.52
2024-09-04 09:07:13.184,-3.23,-0.92,0.06
2024-09-04 09:07:14.311,-0.85,-1.77,-0.37
2024-09-04 09:07:15.182,3.05,3.72,0.0
2024-09-04 09:07:16.200,-304.81,-377.38,-83.74
2024-09-04 09:07:17.204,4.33,3.6,-3.54
2024-09-04 09:07:18.311,1.1,2.5,-1.16
2024-09-04 09:07:19.433,0.0,-0.98,-2.14
2024-09-04 09:07:20.354,-1.65,-3.05,1.4
2024-09-04 09:07:21.278,-163.21,-367.61,-43.4
2024-09-04 09:07:22.245,-10.99,-32.78,-11.96
2024-09-04 09:07:23.245,195.5,547.12,-143.13
2024-09-04 09:07:24.242,-13.49,-57.74,-28.99
2024-09-04 09:07:25.245,28.14,-229.49,-24.41
2024-09-04 09:07:26.252,10.86,31.56,15.56
2024-09-04 09:07:27.640,45.96,10.13,58.11
2024-09-04 09:07:28.389,-66.71,-120.42,-10.5
2024-09-04 09:07:29.282,244.63,638.43,-120.67
2024-09-04 09:07:30.299,-176.64,-221.25,396.91
2024-09-04 09:07:31.328,-37.11,-286.32,273.32
2024-09-04 09:07:32.318,-3.23,3.05,20.69
2024-09-04 09:07:33.445,-0.31,0.31,0.43
2024-09-04 09:07:34.312,3.97,-10.07,7.87
2024-09-04 09:07:35.356,291.2,465.33,167.91
2024-09-04 09:07:36.314,-32.41,-119.38,-23.68
2024-09-04 09:07:37.348,-96.07,-321.78,43.27
2024-09-04 09:07:38.440,-1.28,-3.48,-1.65
2024-09-04 09:07:39.360,0.0,2.5,3.6
2024-09-04 09:07:40.336,0.06,-1.1,-0.85
2024-09-04 09:07:41.334,293.4,627.62,-134.46
2024-09-04 09:07:42.395,-7.63,-32.96,1.16
2024-09-04 09:07:43.710,5.62,-11.6,0.67
2024-09-04 09:07:44.504,-5.55,-27.22,-15.56
2024-09-04 09:07:45.494,42.3,-145.02,-11.6
2024-09-04 09:07:46.388,-49.38,270.75,-54.2
2024-09-04 09:07:47.386,54.87,154.66,534.91
2024-09-04 09:07:48.482,95.21,-153.02,-401.79
2024-09-04 09:07:49.536,75.81,68.91,262.02
2024-09-04 09:07:50.393,-19.29,186.4,-5.92
2024-09-04 09:07:51.584,33.87,-2.56,-94.36
2024-09-04 09:07:52.608,91.06,79.96,85.27
2024-09-04 09:07:53.440,-9.16,-53.16,-2.75
2024-09-04 09:07:54.758,-0.18,-0.73,-0.37
